Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2016-07-06,1495.203857421875,95.06209564208984,-37.91845703125,145.1231231689453,-37.8174934387207,145.1911163330078,4.039778709411621,20.34000015258789,0.5115662217140198,407,,,,,68963383,329195,
2016-07-07,1675.4476318359375,4087.11474609375,-37.83733367919922,144.9501953125,-37.78053665161133,145.18844604492188,2.9005990028381348,28.400177001953125,0.5,4839,,,,,66322407,3085554,249449
2016-07-08,1962.2783203125,9921.9833984375,-37.83631896972656,144.94876098632812,-37.78416442871094,145.1874237060547,2.2959320545196533,30.66002655029297,0.5,13625,,,,,68445205,9269752,
2016-07-09,1702.7435302734375,3999.43359375,-38.0428581237793,144.93850708007812,-37.787017822265625,145.3054962158203,4.998690605163574,33.72071838378906,0.5,5926,,,,,58615325,3758010,117668
2016-07-10,1662.014404296875,2539.284912109375,-37.8369026184082,145.12127685546875,-37.78129577636719,145.19497680664062,2.966994285583496,20.200485229492188,0.5000999569892883,4493,,,,,73825832,3558274,
2016-07-11,1678.6845703125,4713.34716796875,-37.92961120605469,144.95407104492188,-37.78955078125,145.18844604492188,2.7367780208587646,17.390287399291992,0.5,5778,,,,,70304356,3673746,
2016-07-12,1630.1370849609375,2931.151123046875,-37.918296813964844,144.95619201660156,-37.78487014770508,145.19093322753906,2.8256821632385254,22.800020217895508,0.5,4077,,,,,70947156,2808799,
2016-07-13,1830.830078125,9165.375,-37.83485412597656,144.94717407226562,-37.77965545654297,145.18844604492188,1.6133476495742798,29.03038787841797,0.5,10272,,,,,69733368,6615893,
2016-07-14,1672.7890625,3371.20068359375,-37.84172058105469,144.93309020996094,-37.77952194213867,145.18844604492188,2.6657936573028564,38.07278060913086,0.5,5341,,,,,72389351,3774171,
2016-07-15,1763.6522216796875,4656.6474609375,-37.923431396484375,144.95420837402344,-37.7795295715332,145.2314910888672,4.698004245758057,28.440086364746094,0.5,7341,,,,,65216305,4470087,380137
2016-07-16,1846.4610595703125,6994.453125,-37.83462905883789,144.98507690429688,-37.77971649169922,145.1936492919922,2.862731456756592,27.850065231323242,0.5,7945,,,,,71476620,3529576,1025708
2016-07-17,1551.16015625,807.6500854492188,-37.85614013671875,145.16290283203125,-37.81470489501953,145.19508361816406,1.8526010513305664,21.77349281311035,0.5103920102119446,1938,,,,,77423121,1414817,
2016-07-18,1718.98291015625,4290.3759765625,-37.83485412597656,144.95614624023438,-37.7796745300293,145.18844604492188,3.6744296550750732,31.6299991607666,0.5000999569892883,6752,,,,,75125527,4518373,60381
2016-07-19,1531.5611572265625,613.171630859375,-37.918212890625,145.00230407714844,-37.783992767333984,145.18844604492188,3.8250365257263184,28.110008239746094,0.5048762559890747,2052,,,,,72287833,1035139,
2016-07-20,1691.52783203125,4640.4697265625,-37.83485412597656,144.9452667236328,-37.809722900390625,145.18844604492188,2.8195297718048096,22.500080108642578,0.5,5843,,,,,67155721,4085217,
2016-07-21,1510.8509521484375,464.839111328125,-37.91825866699219,145.12843322753906,-37.82017135620117,145.18849182128906,3.112260341644287,22.00090980529785,0.5021951794624329,993,,,,,71629012,633011,
2016-07-22,1848.608154296875,7618.20166015625,-37.84065246582031,144.94873046875,-37.77981948852539,145.18878173828125,2.4111881256103516,31.090103149414062,0.5,9747,,,,,70007061,6661029,84953
2016-07-23,1659.512939453125,2914.885009765625,-37.83485412597656,144.96047973632812,-37.77923583984375,145.19320678710938,4.2719926834106445,28.950016021728516,0.5,5056,,,,,70626953,3456206,
2016-07-24,1521.2445068359375,281.6877746582031,-37.83794021606445,145.16661071777344,-37.82480239868164,145.18844604492188,3.3265631198883057,21.510456085205078,0.5299999713897705,912,,,,,79809137,834818,
2016-07-25,1647.8724365234375,4119.4033203125,-37.83485412597656,144.9563446044922,-37.77968215942383,145.18844604492188,2.889265298843384,30.40013313293457,0.5,4875,,,,,75783128,3089586,
2016-07-26,1675.210205078125,4705.27001953125,-37.8369140625,144.9559783935547,-37.77973937988281,145.18844604492188,3.0914576053619385,28.670141220092773,0.5,5707,,,,,71033307,3614004,
2016-07-27,1552.65478515625,902.403076171875,-37.91794967651367,145.13214111328125,-37.81572341918945,145.19703674316406,2.056025505065918,22.280271530151367,0.5,2628,,,,,75282229,1182675,114066
2016-07-28,1744.19873046875,6585.0732421875,-37.83485412597656,144.9484405517578,-37.77996826171875,145.18844604492188,2.329411268234253,18.402938842773438,0.5,7166,,,,,74054965,5151521,
2016-07-29,2057.447998046875,11945.8837890625,-37.83485412597656,144.95330810546875,-37.779781341552734,145.18844604492188,2.389098644256592,31.990039825439453,0.5,15903,,,,,65640538,11243152,
2016-07-30,1565.4232177734375,1076.1070556640625,-37.83485412597656,144.96641540527344,-37.77989959716797,145.18844604492188,2.268120765686035,34.87004852294922,0.5096076726913452,2229,,,,,78809379,1692628,
2016-07-31,1546.3065185546875,1140.5074462890625,-37.83485412597656,144.96669006347656,-37.78419494628906,145.22718811035156,2.1330230236053467,29.30008316040039,0.5,2011,,,,,75957182,1300755,
2016-08-01,1979.208251953125,9516.96484375,-37.83485412597656,144.94671630859375,-37.779720306396484,145.18844604492188,2.736829996109009,28.520112991333008,0.5,12575,,,,,68293939,9606029,
2016-08-02,1671.1448974609375,7695.82470703125,-37.83485412597656,144.9481201171875,-37.77988815307617,145.19033813476562,3.1382970809936523,29.030912399291992,0.5,9152,,,,,57203202,6574293,54180
2016-08-28,375.2085876464844,,,,,,,,,,,,,,,,
